时间,拍数,label,组数,时值（拍）
22.927202,1,1,1,1
23.650329,2,1,1,1
24.373456,3,1,1,1
25.096583,4,1,1,1
25.819710,1,1,2,0.5
26.181273,2,1,2,0.5
26.542837,3,1,2,1
27.265964,4,1,2,1
39.669921,1,2,1,1
40.378468,2,2,1,1
41.087016,3,2,1,1
41.795563,4,2,1,1
42.504110,1,2,2,1
43.212658,2,2,2,1
43.921205,3,2,2,1
44.629752,4,2,2,1
45.338300,1,2,3,1
46.046847,2,2,3,1
46.755394,3,2,3,1
47.463942,4,2,3,1
48.172489,1,2,4,1
48.881036,2,2,4,1
49.589584,3,2,4,1
50.298131,4,2,4,1
62.019788,1,1,1,1
62.745831,2,1,1,1
63.471873,3,1,1,1
64.197916,4,1,1,1
64.923959,1,1,2,0.5
65.286980,2,1,2,0.5
65.650001,3,1,2,1
66.376044,4,1,2,1
84.343412,1,1,1,1
85.040296,2,1,1,1
85.737181,3,1,1,1
86.434065,4,1,1,1
87.130949,1,1,2,0.5
87.479392,2,1,2,0.5
87.827834,3,1,2,1
88.524718,4,1,2,1
95.496477,1,1,1,1
96.187530,2,1,1,1
96.878582,3,1,1,1
97.569635,4,1,1,1
98.260688,1,1,2,0.5
98.606214,2,1,2,0.5
98.951740,3,1,2,1
99.642793,4,1,2,1
