16拍,开始时间（秒）,结束时间（秒）,音频文件
1,0.000000,0.489795,跳舞_16拍/第01拍.mp3
2,0.489795,0.979590,跳舞_16拍/第02拍.mp3
3,0.979590,1.469385,跳舞_16拍/第03拍.mp3
4,1.469385,1.959180,跳舞_16拍/第04拍.mp3
5,1.959180,2.448975,跳舞_16拍/第05拍.mp3
6,2.448975,2.938770,跳舞_16拍/第06拍.mp3
7,2.938770,3.428565,跳舞_16拍/第07拍.mp3
8,3.428565,3.918360,跳舞_16拍/第08拍.mp3
9,3.918360,4.408154,跳舞_16拍/第09拍.mp3
10,4.408154,4.897949,跳舞_16拍/第10拍.mp3
11,4.897949,5.387744,跳舞_16拍/第11拍.mp3
12,5.387744,5.877539,跳舞_16拍/第12拍.mp3
13,5.877539,6.367334,跳舞_16拍/第13拍.mp3
14,6.367334,6.857129,跳舞_16拍/第14拍.mp3
15,6.857129,7.346924,跳舞_16拍/第15拍.mp3
16,7.346924,7.836719,跳舞_16拍/第16拍.mp3
